Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-11 16:16:00+00;1;15407AMK-03;28;-5.21;9.36;20.47;4.7;14.66;-0.88;734.47;84.19;-7.46;3.5;2.78;1.2696;328.66
2018-01-11 17:02:00+00;1;15407AMK-03;28;-5.5;7.46;22.17;1.5;16.63;0.05;734.33;86.91;-7.34;3.53;2.81;1.2707;328.48
2018-01-11 17:47:00+00;1;15407AMK-03;28;-6.3;7.75;33.98;1.36;15.59;-0.09;734.48;100;-6.3;3.82;3.04;1.2746;328.01
2018-01-11 18:33:00+00;1;15407AMK-03;28;-6.81;7.91;17.16;3.12;12.94;0.18;734.41;98.7;-6.98;3.63;2.89;1.277;327.69
2018-01-11 19:18:00+00;1;15407AMK-03;28;-7.53;3.29;15.73;1.27;6.42;0.71;734.56;100;-7.53;3.48;2.77;1.2809;327.23
2018-01-11 20:04:00+00;1;15407AMK-03;28;-7.43;6.55;28.02;3.09;11.57;-0.55;734.93;100;-7.43;3.5;2.79;1.281;327.3
2018-01-11 20:49:00+00;1;15407AMK-03;28;-7.62;6.73;30.7;3.46;12.43;0.54;735.26;100;-7.62;3.45;2.75;1.2825;327.18
2018-01-11 21:35:00+00;1;15407AMK-03;28;-7.83;7.43;34.68;1.75;15.04;0.72;735.5;100;-7.83;3.4;2.7;1.284;327.05
2018-01-11 22:20:00+00;1;15407AMK-03;28;-8.07;9.58;40.94;4.78;16.22;-0.07;736.18;100;-8.07;3.33;2.65;1.2864;326.89
2018-01-11 23:06:00+00;1;15407AMK-03;28;-8.35;6.48;34.81;1.36;12.64;0.57;736.79;100;-8.35;3.26;2.6;1.2888;326.71
2018-01-11 23:51:00+00;1;15407AMK-03;28;-8.39;6.37;34.87;0.76;10.06;0.35;737.59;100;-8.39;3.25;2.59;1.2905;326.69
2018-01-12 00:37:00+00;1;15407AMK-03;28;-8.33;8.62;28.22;3.91;17.26;0.93;738.25;97.29;-8.69;3.18;2.53;1.2914;326.72
2018-01-12 01:22:00+00;1;15407AMK-03;28;-8.65;10.13;49.24;4.08;16.07;0.17;738.93;96.1;-9.16;3.06;2.44;1.2942;326.52
2018-01-12 02:08:00+00;1;15407AMK-03;28;-9.01;9.79;50.02;4.3;14.81;-0.29;739.56;94.64;-9.72;2.93;2.33;1.2971;326.29
2018-01-12 02:53:00+00;1;15407AMK-03;28;-9.53;7.15;43.67;2.62;12.35;0.12;740.61;99.14;-9.64;2.95;2.35;1.3015;325.97
2018-01-12 03:38:00+00;1;15407AMK-03;28;-9.77;7.38;43.26;3.03;11.37;0.14;740.95;98.31;-9.99;2.87;2.28;1.3033;325.82
2018-01-12 04:24:00+00;1;15407AMK-03;28;-10.11;7.04;47.05;2.16;11.54;0.17;741.41;100;-10.11;2.84;2.26;1.3058;325.61
2018-01-12 05:09:00+00;1;15407AMK-03;28;-9.98;6.03;40.02;2.12;10.59;0.38;741.88;94.98;-10.63;2.73;2.17;1.3061;325.68
2018-01-12 05:55:00+00;1;15407AMK-03;28;-10.06;5.43;41.2;1.32;9.47;0.15;742.33;95.68;-10.62;2.73;2.17;1.3073;325.63
2018-01-12 06:40:00+00;1;15407AMK-03;28;-9.97;7.37;45.83;2.34;11.86;-0.26;742.47;91.05;-11.15;2.62;2.08;1.3071;325.68
2018-01-12 07:26:00+00;1;15407AMK-03;28;-10.02;4.82;48.06;1.82;9.12;0.25;742.96;87.03;-11.77;2.49;1.98;1.3083;325.64
2018-01-12 08:11:00+00;1;15407AMK-03;28;-10.19;5.24;45.59;1.95;9.04;0.46;743.39;91.08;-11.37;2.57;2.05;1.3099;325.54
2018-01-12 08:57:00+00;1;15407AMK-03;28;-10.3;5.25;35.52;1.16;9.83;0.28;743.71;95.27;-10.91;2.67;2.12;1.3109;325.48
2018-01-12 09:42:00+00;1;15407AMK-03;28;-10.29;6.37;56.7;3.31;9.73;0.11;744.04;93.11;-11.19;2.61;2.08;1.3115;325.48
2018-01-12 10:28:00+00;1;15407AMK-03;28;-10.69;4.37;55.29;1.21;7.28;0.27;744.65;95.16;-11.31;2.58;2.06;1.3146;325.23
2018-01-12 11:13:00+00;1;15407AMK-03;28;-11.16;5.49;43.65;2.86;7.68;0.18;744.98;97.04;-11.53;2.54;2.02;1.3175;324.94
2018-01-12 11:59:00+00;1;15407AMK-03;28;-11.52;4.85;43.66;2.23;6.44;-0.13;745.38;100;-11.52;2.54;2.02;1.3201;324.71
2018-01-12 12:44:00+00;1;15407AMK-03;28;-11.84;3.76;48.1;2.01;8.05;0.36;745.74;100;-11.84;2.48;1.97;1.3224;324.51
2018-01-12 13:30:00+00;1;15407AMK-03;28;-11.76;2.49;41.33;1.1;4.57;-0.2;745.95;100;-11.76;2.49;1.98;1.3223;324.57
2018-01-12 14:15:00+00;1;15407AMK-03;28;-11.64;4.38;48.44;2.13;7.73;0.04;746.08;100;-11.64;2.52;2;1.3219;324.64
2018-01-12 15:01:00+00;1;15407AMK-03;28;-12.09;3.28;22.3;1.16;5.95;-0.37;746.28;100;-12.09;2.43;1.93;1.3246;324.36
2018-01-12 15:46:00+00;1;15407AMK-03;28;-11.7;4.29;47.89;1.44;7.51;0.32;746.35;100;-11.7;2.5;1.99;1.3227;324.6
2018-01-12 16:32:00+00;1;15407AMK-03;28;-12.33;3.31;20.13;1.2;6.91;0.23;746.36;100;-12.33;2.38;1.89;1.326;324.2
2018-01-12 17:17:00+00;1;15407AMK-03;28;-12.47;4.04;20.88;1.77;6.58;-0.44;746.36;100;-12.47;2.35;1.87;1.3267;324.12
2018-01-12 18:03:00+00;1;15407AMK-03;28;-12.45;4.11;26.06;2.01;6.36;-0.5;746.32;100;-12.45;2.36;1.88;1.3266;324.13
2018-01-12 18:48:00+00;1;15407AMK-03;28;-12.55;2.5;17.11;0.79;4.33;-0.13;746.32;100;-12.55;2.34;1.86;1.3271;324.07
2018-01-12 19:34:00+00;1;15407AMK-03;28;-12.57;2.86;22.22;0.81;6.12;0.25;746.35;100;-12.57;2.33;1.86;1.3273;324.05
2018-01-12 20:19:00+00;1;15407AMK-03;28;-12.79;2.65;23.82;1.53;3.93;-0.05;746.33;100;-12.79;2.29;1.82;1.3284;323.91
2018-01-12 21:05:00+00;1;15407AMK-03;28;-12.75;2.71;43.36;1.11;4.1;-0.09;746.33;100;-12.75;2.3;1.83;1.3281;323.94
2018-01-12 21:50:00+00;1;15407AMK-03;28;-13.45;1.45;27.83;0.65;2.34;0.24;746.36;100;-13.45;2.18;1.73;1.3318;323.5
2018-01-12 22:36:00+00;1;15407AMK-03;28;-13.6;3.75;46;2.02;5.16;0;746.62;100;-13.6;2.15;1.71;1.3331;323.4
2018-01-12 23:21:00+00;1;15407AMK-03;28;-14.06;2.8;65.25;1.37;4.38;-0.06;746.74;100;-14.06;2.07;1.64;1.3357;323.11
2018-01-13 00:07:00+00;1;15407AMK-03;28;-14.18;2.95;63.89;1.6;4.39;-0.15;746.98;100;-14.18;2.05;1.63;1.3368;323.03
2018-01-13 00:52:00+00;1;15407AMK-03;28;-14.47;1.69;48.89;0.51;3.17;0.33;747.09;100;-14.47;2;1.59;1.3385;322.85
2018-01-13 01:38:00+00;1;15407AMK-03;28;-14.65;3.87;47.7;2.16;5.63;-0.05;747.1;100;-14.65;1.97;1.57;1.3395;322.74
2018-01-13 02:23:00+00;1;15407AMK-03;28;-14.86;4.23;64.17;1;7.67;0.1;747.18;100;-14.86;1.94;1.54;1.3407;322.61
2018-01-13 03:09:00+00;1;15407AMK-03;28;-15.49;2.65;46.62;1.47;4.04;-0.02;747.22;100;-15.49;1.84;1.46;1.3441;322.21
2018-01-13 03:54:00+00;1;15407AMK-03;28;-15.76;2.76;56.6;2.1;3.68;0.06;747.2;100;-15.76;1.8;1.43;1.3455;322.03
2018-01-13 04:40:00+00;1;15407AMK-03;28;-16.03;2.06;50.99;0.44;3.68;0.25;747.33;100;-16.03;1.76;1.4;1.3472;321.86
2018-01-13 05:25:00+00;1;15407AMK-03;28;-16.28;3.08;60.76;1.23;4.77;-0.02;747.31;96.16;-16.75;1.66;1.32;1.3485;321.7
2018-01-13 06:11:00+00;1;15407AMK-03;28;-15.98;3.82;35.81;1.86;6.39;0.18;747.3;92.76;-16.89;1.64;1.3;1.347;321.89
2018-01-13 06:56:00+00;1;15407AMK-03;28;-15.93;5.55;47.89;4.2;6.69;-0.53;747.09;87.63;-17.51;1.55;1.23;1.3464;321.91
2018-01-13 07:41:00+00;1;15407AMK-03;28;-15.88;2.98;65.97;1.59;4.81;-0.19;746.87;85.34;-17.78;1.52;1.21;1.3457;321.94
2018-01-13 08:27:00+00;1;15407AMK-03;28;-16.03;4.37;52.87;1.85;6.4;0.31;746.8;85.71;-17.87;1.51;1.2;1.3464;321.85
2018-01-13 09:12:00+00;1;15407AMK-03;28;-16.13;1.56;62.2;0.33;2.66;0.01;746.62;87.11;-17.78;1.52;1.21;1.3466;321.79
2018-01-13 09:58:00+00;1;15407AMK-03;28;-16.65;3.19;52.01;1.56;4.34;0.3;746.33;96.61;-17.06;1.61;1.28;1.3487;321.47
2018-01-13 10:43:00+00;1;15407AMK-03;28;-17.03;3.82;43.75;2.41;5.22;-0.29;746.34;100;-17.03;1.62;1.29;1.3507;321.23
2018-01-13 11:29:00+00;1;15407AMK-03;28;-17.62;4.3;46.35;3.2;5.86;-0.07;746.12;100;-17.62;1.54;1.22;1.3535;320.86
2018-01-13 12:14:00+00;1;15407AMK-03;28;-17.94;4.1;49.5;2.75;5.66;0.2;746.1;100;-17.94;1.5;1.19;1.3552;320.65
2018-01-13 13:00:00+00;1;15407AMK-03;28;-18.42;3.95;55.44;1.79;5.39;-0.08;746.05;100;-18.42;1.44;1.14;1.3577;320.35
2018-01-13 13:45:00+00;1;15407AMK-03;28;-19.11;3.97;61.38;2.51;5.82;-0.1;746.06;100;-19.11;1.36;1.08;1.3614;319.91
2018-01-13 14:31:00+00;1;15407AMK-03;28;-19.73;5.16;58.32;2.65;7.66;-0.2;745.97;100;-19.73;1.29;1.02;1.3646;319.52
2018-01-13 15:16:00+00;1;15407AMK-03;28;-20.43;3.69;55.45;1.99;5.55;0.02;746;100;-20.43;1.21;0.96;1.3685;319.07
2018-01-13 16:02:00+00;1;15407AMK-03;28;-21.09;2.63;53.51;1.2;3.88;0.37;745.84;100;-21.09;1.14;0.91;1.3719;318.65
2018-01-13 16:47:00+00;1;15407AMK-03;28;-21.5;4.32;57.67;1.66;7.09;-0.44;745.78;100;-21.5;1.1;0.88;1.374;318.39
2018-01-13 17:33:00+00;1;15407AMK-03;28;-21.98;4.61;46.62;2.83;9.53;0.09;745.49;100;-21.98;1.06;0.84;1.3761;318.08
2018-01-13 18:18:00+00;1;15407AMK-03;28;-22.05;4.6;45.19;2.54;6.09;-0.43;745.59;100;-22.05;1.05;0.84;1.3767;318.04
2018-01-13 19:04:00+00;1;15407AMK-03;28;-22.54;3.78;48.1;1.13;6.54;0.23;745.46;100;-22.54;1.01;0.8;1.3791;317.73
2018-01-13 19:49:00+00;1;15407AMK-03;28;-22.8;3.64;51.08;1.9;5.5;0.13;745.57;100;-22.8;0.98;0.78;1.3808;317.56
2018-01-13 20:35:00+00;1;15407AMK-03;28;-22.62;4.5;45.34;2.29;6.46;-0.07;745.27;100;-22.62;1;0.79;1.3793;317.67
2018-01-13 21:20:00+00;1;15407AMK-03;28;-22.91;4.29;44.88;2.2;6.05;0.39;745.12;100;-22.91;0.98;0.77;1.3806;317.49
2018-01-13 22:06:00+00;1;15407AMK-03;28;-22.97;3.66;39.56;1.67;6.06;0.31;744.77;100;-22.97;0.97;0.77;1.3803;317.45
2018-01-13 22:51:00+00;1;15407AMK-03;28;-22.92;3.84;40.19;1.73;6.38;-0.19;744.77;100;-22.92;0.97;0.77;1.38;317.48
2018-01-13 23:37:00+00;1;15407AMK-03;28;-22.81;3.55;40.86;1.45;5.4;-0.06;744.81;100;-22.81;0.98;0.78;1.3795;317.55
2018-01-14 00:22:00+00;1;15407AMK-03;28;-22.81;4.91;34.29;2.28;10.07;0.71;744.72;100;-22.81;0.98;0.78;1.3793;317.56
2018-01-14 01:08:00+00;1;15407AMK-03;28;-22.77;4.5;42.53;1.77;7.66;0.37;744.67;100;-22.77;0.99;0.78;1.379;317.58
2018-01-14 01:53:00+00;1;15407AMK-03;28;-22.49;3.4;39.38;1.28;5.15;0.74;744.67;100;-22.49;1.01;0.8;1.3774;317.76
2018-01-14 02:39:00+00;1;15407AMK-03;28;-22.04;3.08;24.54;1.05;5.98;0.02;744.57;100;-22.04;1.05;0.84;1.3747;318.05
2018-01-14 03:24:00+00;1;15407AMK-03;28;-21.68;2.76;34.31;0.4;5.1;0.09;744.7;100;-21.68;1.09;0.86;1.373;318.27
2018-01-14 04:10:00+00;1;15407AMK-03;28;-21.38;2.52;16.24;0.35;5.33;0.63;744.45;100;-21.38;1.12;0.89;1.3709;318.47
2018-01-14 04:55:00+00;1;15407AMK-03;28;-20.93;4.83;20.82;2.38;7.59;-0.36;744.12;100;-20.93;1.16;0.92;1.3678;318.75
2018-01-14 05:41:00+00;1;15407AMK-03;28;-20.6;4.9;20.67;2.75;9.85;0;743.96;100;-20.6;1.19;0.95;1.3657;318.96
2018-01-14 06:26:00+00;1;15407AMK-03;28;-20.02;5.7;19.24;2.44;9.33;-0.53;743.9;100;-20.02;1.25;1;1.3624;319.33
2018-01-14 07:12:00+00;1;15407AMK-03;28;-19.52;8.29;44.98;4.1;14.16;0.15;743.91;100;-19.52;1.31;1.04;1.3598;319.65
2018-01-14 07:57:00+00;1;15407AMK-03;28;-19.39;8.16;43.72;3.76;13.39;-0.16;743.93;100;-19.39;1.32;1.05;1.3591;319.73
2018-01-14 08:43:00+00;1;15407AMK-03;28;-19.45;4.13;38.98;0.89;9.96;0.7;744.06;100;-19.45;1.32;1.05;1.3596;319.7
2018-01-14 09:28:00+00;1;15407AMK-03;28;-19.22;4.5;34.14;2.23;9.82;0.6;744.17;100;-19.22;1.34;1.07;1.3586;319.84
2018-01-14 10:14:00+00;1;15407AMK-03;28;-18.97;5.2;34.02;2.22;9.06;0.29;744.45;100;-18.97;1.37;1.09;1.3578;320
2018-01-14 10:59:00+00;1;15407AMK-03;28;-19.16;6.03;33.15;3.06;9.98;-0.4;744.51;100;-19.16;1.35;1.07;1.3589;319.88
2018-01-14 11:44:00+00;1;15407AMK-03;28;-19.3;6;47.86;2.16;10.04;-0.15;744.9;100;-19.3;1.33;1.06;1.3604;319.79
2018-01-14 12:30:00+00;1;15407AMK-03;28;-19.52;5.93;42.03;2.13;13.63;-0.23;744.93;100;-19.52;1.31;1.04;1.3616;319.65
2018-01-14 13:15:00+00;1;15407AMK-03;28;-19.67;4.05;26.92;1.48;6.32;0.49;745.03;100;-19.67;1.29;1.03;1.3626;319.55
2018-01-14 14:01:00+00;1;15407AMK-03;28;-19.81;3.88;45.11;0.19;8.15;0.5;745.02;100;-19.81;1.28;1.02;1.3633;319.47
2018-01-14 14:46:00+00;1;15407AMK-03;28;-20.02;4.26;19.17;0.75;8.9;0.02;744.96;100;-20.02;1.26;1;1.3644;319.33
2018-01-14 15:32:00+00;1;15407AMK-03;28;-20.17;3.61;27.17;1.75;6.57;0.24;744.96;100;-20.17;1.24;0.98;1.3652;319.24
2018-01-14 16:17:00+00;1;15407AMK-03;28;-20.29;7.09;52.89;4.53;10.2;-0.1;744.91;100;-20.29;1.23;0.97;1.3658;319.16
2018-01-14 17:03:00+00;1;15407AMK-03;28;-20.49;5.89;46.4;2.65;10.32;0.05;744.93;100;-20.49;1.21;0.96;1.3669;319.03
2018-01-14 17:48:00+00;1;15407AMK-03;28;-20.82;6.77;52.79;3.3;11.02;-0.35;744.9;100;-20.82;1.17;0.93;1.3687;318.82
2018-01-14 18:34:00+00;1;15407AMK-03;28;-20.92;5.45;61.44;2.42;9.75;-0.31;744.93;100;-20.92;1.16;0.92;1.3693;318.76
2018-01-14 19:19:00+00;1;15407AMK-03;28;-21.18;5.32;59.19;3.05;7.69;-0.09;744.93;100;-21.18;1.13;0.9;1.3707;318.59
2018-01-14 20:05:00+00;1;15407AMK-03;28;-21.57;3.87;61.35;1.38;6.96;0.34;745.07;100;-21.57;1.1;0.87;1.3731;318.35
2018-01-14 20:50:00+00;1;15407AMK-03;28;-21.76;5;46.66;1.45;7.52;-0.06;745.13;100;-21.76;1.08;0.86;1.3742;318.23
2018-01-14 21:36:00+00;1;15407AMK-03;28;-22.1;4.08;51.79;2.75;5.57;0.15;745.24;100;-22.1;1.05;0.83;1.3763;318.01
2018-01-14 22:21:00+00;1;15407AMK-03;28;-22.28;5.34;45.61;3.31;10.4;0;745.18;100;-22.28;1.03;0.82;1.3772;317.89
2018-01-14 23:07:00+00;1;15407AMK-03;28;-22.52;4;48.18;1.42;6.95;0.3;745.25;100;-22.52;1.01;0.8;1.3787;317.74
2018-01-14 23:52:00+00;1;15407AMK-03;28;-22.74;2.47;54.89;1.57;3.85;0.27;745.64;100;-22.74;0.99;0.79;1.3806;317.6
2018-01-15 00:38:00+00;1;15407AMK-03;28;-22.96;2.47;53.45;1.27;3.76;0.22;745.66;100;-22.96;0.97;0.77;1.3819;317.46
2018-01-15 01:23:00+00;1;15407AMK-03;28;-23.21;5.15;40.12;3.39;6.93;-0.42;745.5;100;-23.21;0.95;0.75;1.383;317.3
2018-01-15 02:09:00+00;1;15407AMK-03;28;-23.36;4.7;40.83;1.35;7.41;-0.31;745.59;100;-23.36;0.94;0.74;1.384;317.2
2018-01-15 02:54:00+00;1;15407AMK-03;28;-23.56;1.93;33.49;1.13;2.86;0.5;745.62;100;-23.56;0.92;0.73;1.3852;317.07
2018-01-15 03:40:00+00;1;15407AMK-03;28;-23.63;2.55;58.58;1.51;3.66;0.02;745.71;100;-23.63;0.91;0.73;1.3857;317.03
2018-01-15 04:25:00+00;1;15407AMK-03;28;-23.48;1.96;44.32;0.86;3.47;-0.23;745.74;100;-23.48;0.93;0.74;1.385;317.12
2018-01-15 05:11:00+00;1;15407AMK-03;28;-23.14;2.34;17.29;1.22;3.44;-0.08;745.77;97.29;-23.45;0.93;0.74;1.3831;317.34
2018-01-15 05:56:00+00;1;15407AMK-03;28;-22.68;2.99;24.65;1.04;5.07;0.01;745.84;95.27;-23.23;0.95;0.75;1.3807;317.64
2018-01-15 06:42:00+00;1;15407AMK-03;28;-22.43;2.97;16.63;1.4;4.56;-0.08;745.8;94.64;-23.06;0.96;0.76;1.3792;317.79
2018-01-15 07:27:00+00;1;15407AMK-03;28;-22.13;2.95;23.14;1.75;4.88;0.18;745.71;96.49;-22.54;1.01;0.8;1.3774;317.98
2018-01-15 08:13:00+00;1;15407AMK-03;28;-21.68;2.17;12.12;0.81;3.22;0.19;745.68;96.97;-22.03;1.05;0.84;1.3748;318.27
2018-01-15 08:58:00+00;1;15407AMK-03;28;-21.62;2.2;16.72;1;3.49;0.32;745.61;96.65;-22;1.06;0.84;1.3743;318.31
2018-01-15 09:44:00+00;1;15407AMK-03;28;-21.79;3.27;5.94;0.8;6.96;-0.05;745.67;99.3;-21.88;1.07;0.85;1.3754;318.2
2018-01-15 10:29:00+00;1;15407AMK-03;28;-22.05;2.76;10.33;1.45;5.8;-0.22;745.58;100;-22.05;1.05;0.84;1.3767;318.04
2018-01-15 11:15:00+00;1;15407AMK-03;28;-22.25;4.83;19.39;1.16;7.94;-0.01;745.19;100;-22.25;1.03;0.82;1.377;317.91
2018-01-15 12:00:00+00;1;15407AMK-03;28;-22.04;5.47;14.53;2.46;7.63;-0.77;744.79;100;-22.04;1.05;0.84;1.3751;318.05
2018-01-15 12:46:00+00;1;15407AMK-03;28;-21.61;5.58;11.84;3.19;8.03;-0.37;744.38;100;-21.61;1.09;0.87;1.372;318.32
2018-01-15 13:31:00+00;1;15407AMK-03;28;-21.27;6.79;20.31;4.98;8.59;-0.97;743.76;100;-21.27;1.13;0.89;1.369;318.53
2018-01-15 14:17:00+00;1;15407AMK-03;28;-21.03;4.45;8.06;1.57;7.41;-0.02;742.94;100;-21.03;1.15;0.91;1.3662;318.69
2018-01-15 15:02:00+00;1;15407AMK-03;28;-20.65;4.38;10.7;1.42;7.69;0.23;742.91;100;-20.65;1.19;0.94;1.3641;318.93
2018-01-15 15:48:00+00;1;15407AMK-03;28;-20.36;5.58;14.25;2.31;9.29;-0.22;742.05;100;-20.36;1.22;0.97;1.3609;319.12
2018-01-15 16:33:00+00;1;15407AMK-03;28;-19.82;6.39;21.83;3.1;9.51;-0.37;741.95;100;-19.82;1.28;1.01;1.3578;319.46
2018-01-15 17:18:00+00;1;15407AMK-03;28;-19.43;4.59;20.47;2.14;6.41;0.12;741.53;100;-19.43;1.32;1.05;1.3549;319.71
2018-01-15 18:04:00+00;1;15407AMK-03;28;-19.07;5.05;15.52;0.44;8.75;0.4;740.96;100;-19.07;1.36;1.08;1.3519;319.94
2018-01-15 18:49:00+00;1;15407AMK-03;28;-18.81;4.53;9.68;1.53;8.22;-0.31;740.58;100;-18.81;1.39;1.11;1.3498;320.1
2018-01-15 19:35:00+00;1;15407AMK-03;28;-18.4;5.23;28.6;3.59;7.24;-0.03;740.33;100;-18.4;1.44;1.15;1.3472;320.36
2018-01-15 20:20:00+00;1;15407AMK-03;28;-18.25;2.87;18.39;1.01;4.5;0.62;739.92;100;-18.25;1.46;1.16;1.3456;320.46
2018-01-15 21:06:00+00;1;15407AMK-03;28;-18.02;4.23;39.39;1.09;7.48;0.13;739.32;100;-18.02;1.49;1.18;1.3433;320.6
2018-01-15 21:51:00+00;1;15407AMK-03;28;-17.69;3.43;31.54;1.61;6.95;0.45;739.14;100;-17.69;1.53;1.22;1.3412;320.81
2018-01-15 22:37:00+00;1;15407AMK-03;28;-17.32;4.88;33.86;1.37;8.4;-0.19;738.66;100;-17.32;1.58;1.26;1.3384;321.05
2018-01-15 23:22:00+00;1;15407AMK-03;28;-16.8;4.72;46.45;2.4;7.14;0.29;738.41;100;-16.8;1.65;1.31;1.3352;321.38
2018-01-16 00:08:00+00;1;15407AMK-03;28;-16.48;4.65;26.78;2.18;9.37;0.03;738.25;100;-16.48;1.69;1.35;1.3332;321.58
2018-01-16 00:53:00+00;1;15407AMK-03;28;-16.05;3.69;41.78;1.9;5.82;0.22;737.98;100;-16.05;1.76;1.4;1.3305;321.85
2018-01-16 01:39:00+00;1;15407AMK-03;28;-15.69;4.42;33.45;1.53;7.36;-0.18;737.78;100;-15.69;1.81;1.44;1.3282;322.08
2018-01-16 02:24:00+00;1;15407AMK-03;28;-15.25;6.76;54.21;2.88;10.59;0.42;737.78;100;-15.25;1.88;1.49;1.3259;322.36
2018-01-16 03:10:00+00;1;15407AMK-03;28;-14.99;5.54;37.65;2.44;8.24;0.43;737.55;100;-14.99;1.92;1.52;1.3241;322.52
2018-01-16 03:55:00+00;1;15407AMK-03;28;-14.72;4.86;50.7;1.84;8.53;0.42;737.76;100;-14.72;1.96;1.56;1.3231;322.69
2018-01-16 04:41:00+00;1;15407AMK-03;28;-14.43;6.75;45.07;4.3;9.56;-0.34;737.68;100;-14.43;2.01;1.6;1.3214;322.88
2018-01-16 05:26:00+00;1;15407AMK-03;28;-14.19;3.3;43.26;1.38;6.35;-0.29;737.78;100;-14.19;2.05;1.63;1.3204;323.03
2018-01-16 06:12:00+00;1;15407AMK-03;28;-13.82;5.18;50.74;2.46;8.72;0.7;737.63;100;-13.82;2.11;1.68;1.3182;323.26
2018-01-16 06:57:00+00;1;15407AMK-03;28;-13.55;3.5;31.93;1.02;6.41;0.66;737.89;100;-13.55;2.16;1.72;1.3172;323.43
2018-01-16 07:43:00+00;1;15407AMK-03;28;-13.25;3.82;39.57;2.04;5.67;0.68;737.96;100;-13.25;2.21;1.76;1.3158;323.63
2018-01-16 08:28:00+00;1;15407AMK-03;28;-12.89;3.62;46.54;0.86;6.22;0.39;738.19;100;-12.89;2.28;1.81;1.3143;323.85
2018-01-16 09:14:00+00;1;15407AMK-03;28;-12.57;3.72;31.41;1.92;5.86;0.65;738.28;100;-12.57;2.34;1.86;1.3129;324.05
2018-01-16 09:59:00+00;1;15407AMK-03;28;-12.26;5.77;58.09;1.58;8.66;-0.43;738.42;100;-12.26;2.39;1.9;1.3115;324.25
2018-01-16 10:45:00+00;1;15407AMK-03;28;-12.03;4.74;51.61;2.86;7.42;0;738.73;100;-12.03;2.44;1.94;1.3109;324.39
2018-01-16 11:30:00+00;1;15407AMK-03;28;-11.71;2.53;45.44;0.52;4.28;0.54;739.32;100;-11.71;2.5;1.99;1.3103;324.6
2018-01-16 12:16:00+00;1;15407AMK-03;28;-11.35;5.29;51.03;2.94;8.38;0.23;739.28;100;-11.35;2.57;2.05;1.3084;324.82
2018-01-16 13:01:00+00;1;15407AMK-03;28;-11.08;5.23;44.94;3;7.24;-0.37;739.1;100;-11.08;2.63;2.09;1.3067;324.99
2018-01-16 13:47:00+00;1;15407AMK-03;28;-10.68;4.28;35.47;2.26;7.1;0.33;738.69;100;-10.68;2.72;2.16;1.3039;325.25
2018-01-16 14:32:00+00;1;15407AMK-03;28;-10.51;5.37;29.3;1.02;10.51;-0.31;738.44;100;-10.51;2.75;2.19;1.3026;325.36
2018-01-16 15:18:00+00;1;15407AMK-03;28;-10.24;4.44;35.94;1.51;7.94;0.41;738.45;100;-10.24;2.81;2.24;1.3013;325.53
2018-01-16 16:03:00+00;1;15407AMK-03;28;-10.12;4.57;48.05;1.75;9.11;0.6;738.45;100;-10.12;2.84;2.26;1.3007;325.6
2018-01-16 16:49:00+00;1;15407AMK-03;28;-9.9;5.12;37.03;2.19;10.47;0.17;738.42;100;-9.9;2.89;2.3;1.2995;325.74
2018-01-16 17:34:00+00;1;15407AMK-03;28;-9.66;5.97;47.39;2.28;9.58;0.12;738.43;100;-9.66;2.94;2.34;1.2983;325.89
2018-01-16 18:20:00+00;1;15407AMK-03;28;-9.62;3.76;48.63;1.76;5.8;1.15;738.44;100;-9.62;2.95;2.35;1.2981;325.92
2018-01-16 19:05:00+00;1;15407AMK-03;28;-9.66;4.91;50.26;1.78;7.89;0.12;738.44;100;-9.66;2.94;2.34;1.2983;325.89
2018-01-16 19:51:00+00;1;15407AMK-03;28;-9.72;6.06;53.61;1.7;9.52;0.18;738.36;100;-9.72;2.93;2.33;1.2985;325.85
2018-01-16 20:36:00+00;1;15407AMK-03;28;-9.62;3.41;40.21;1.39;6.6;0.21;738.4;100;-9.62;2.95;2.35;1.298;325.92
2018-01-16 21:21:00+00;1;15407AMK-03;28;-9.28;4.38;60.1;1.33;8.2;0.53;738.17;100;-9.28;3.03;2.41;1.2959;326.13
2018-01-16 22:07:00+00;1;15407AMK-03;28;-8.8;5.53;48.84;2.98;8.99;0.28;738.14;100;-8.8;3.15;2.51;1.2935;326.43
2018-01-16 22:52:00+00;1;15407AMK-03;28;-8.48;5.26;52.57;2.75;8.58;0.01;738.4;100;-8.48;3.23;2.57;1.2923;326.64
2018-01-16 23:38:00+00;1;15407AMK-03;28;-8.17;6.69;46.57;3.05;10.03;-0.4;738.44;100;-8.17;3.31;2.63;1.2908;326.83
2018-01-17 00:23:00+00;1;15407AMK-03;28;-7.67;5.94;45.17;3.24;8.44;0.08;738.55;100;-7.67;3.44;2.74;1.2885;327.14
