Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-03 21:46:00+00;1;15407AMK-03;28;-22.73;1.36;209.15;0.7;2.34;0.11;760.61;100;-22.73;0.99;0.79;1.4083;317.6
2018-01-03 22:32:00+00;1;15407AMK-03;28;-22.15;2;214.6;1.05;2.68;-0.05;760.61;100;-22.15;1.04;0.83;1.405;317.98
2018-01-03 23:17:00+00;1;15407AMK-03;28;-21.83;1.25;165.21;0.91;1.62;0.09;760.61;100;-21.83;1.07;0.85;1.4032;318.18
2018-01-04 00:03:00+00;1;15407AMK-03;28;-22.34;2.1;146.4;1.5;2.65;0.12;760.47;100;-22.34;1.03;0.81;1.4058;317.85
2018-01-04 00:48:00+00;1;15407AMK-03;28;-22.33;1.47;196.56;0.9;1.73;-0.02;760.42;100;-22.33;1.03;0.82;1.4057;317.86
2018-01-04 01:34:00+00;1;15407AMK-03;28;-22.22;1.9;203.86;1.54;2.18;0.04;760.42;100;-22.22;1.04;0.82;1.4051;317.93
2018-01-04 02:19:00+00;1;15407AMK-03;28;-22.57;2.41;209.66;1.42;2.91;0.07;760.49;100;-22.57;1;0.8;1.4072;317.7
2018-01-04 03:05:00+00;1;15407AMK-03;28;-22.61;2.51;208.89;2.25;2.79;0.06;760.28;100;-22.61;1;0.8;1.407;317.68
2018-01-04 03:50:00+00;1;15407AMK-03;28;-22.99;0.82;231.07;0.37;1.49;-0.12;759.97;100;-22.99;0.97;0.77;1.4086;317.44
2018-01-04 04:36:00+00;1;15407AMK-03;28;-23.52;0.84;207.98;0.58;1.09;-0.08;760.01;94.66;-24.14;0.87;0.69;1.4117;317.09
2018-01-04 05:21:00+00;1;15407AMK-03;28;-22.01;0.79;200.56;0.29;1.49;-0.17;760.15;67.1;-26.47;0.71;0.56;1.4036;318.04
